match_id,player_id,placement,mode,length,traits,units
43,2116,4,Ranked,00:31:22,"['3 Poison', '1 Alchemist', '4 Glacial', '3 Berserker', '2 Electric', '2 Ranger', '2 Warden']","['Ornn', 'Volibear', 'Braum', 'Skarner', 'Ezreal', 'Dr. Mundo', 'Olaf', 'Twitch', 'Singed']"
44,2116,4,Ranked,00:31:11,"['6 Mage', '4 Ocean', '2 Warden']","['Taliyah', 'Vladimir', 'LeBlanc', 'Syndra', 'Thresh', 'Nautilus', 'Veigar', 'Brand']"
45,2116,8,Ranked,00:25:47,"['6 Mage', '4 Ocean']","['Taliyah', 'Vladimir', 'Syndra', 'Nautilus', 'Veigar', 'Brand', 'Nami']"
46,2116,3,Ranked,00:30:41,"['3 Poison', '3 Electric', '2 Crystal', '2 Ranger', '2 Warden']","['Ornn', ""Kog'Maw"", 'Volibear', 'Dr. Mundo', 'Twitch', 'Ashe', 'Taric', 'Zed']"
47,2116,7,Ranked,00:23:32,"['6 Inferno', '3 Shadow', '3 Summoner', '2 Ranger']","['Diana', 'Zyra', 'Malzahar', 'Varus', 'Kindred', 'Sion', 'Annie', 'Brand']"
48,2116,2,Ranked,00:37:13,"['6 Mage', '2 Mountain', '4 Ocean', '2 Warden']","['Vladimir', 'Taliyah', 'LeBlanc', 'Syndra', 'Nautilus', 'Veigar', 'Malphite', 'Brand', 'Nami']"
49,2116,1,Ranked,00:35:08,"['7 Mage', '2 Mountain', '5 Warden', '4 Ocean']","['Taliyah', 'Vladimir', 'Syndra', 'Thresh', 'Nautilus', 'Veigar', 'Malphite', 'Brand', 'Amumu']"
50,2116,3,Ranked,00:31:13,"['6 Mage', '2 Mountain', '4 Ocean', '2 Warden']","['Taliyah', 'Vladimir', 'Syndra', 'Thresh', 'Veigar', 'Malphite', 'Brand', 'Nami']"
51,1887,6,Ranked,00:27:38,['7 Light'],"['Vayne', 'Nasus', 'Jax', 'Aatrox', 'Soraka', 'Lucian', 'Yorick']"
52,1887,8,Ranked,00:23:32,"['4 Ranger', '3 Inferno', '2 Glacial', '2 Warden']","['Braum', 'Varus', 'Ezreal', 'Kindred', 'Kindred', 'Ashe', 'Amumu']"
53,1887,5,Ranked,00:23:45,"['4 Warden', '4 Glacial', '2 Electric']","['Ornn', 'Warwick', 'Braum', 'Volibear', 'Ezreal', 'Ezreal', 'Taric']"
54,1887,8,Ranked,00:21:54,"['5 Glacial', '2 Electric', '2 Warden']","['Ornn', 'Warwick', 'LeBlanc', 'Volibear', 'Volibear', 'Braum', 'Ezreal', 'Olaf']"
55,1887,7,Ranked,00:25:40,"['6 Summoner', '3 Inferno', '3 Shadow']","['Zyra', 'Malzahar', 'Azir', 'Kindred', 'Sion', 'Annie', 'Yorick', 'Zed']"
56,1887,1,Ranked,00:34:35,"['2 Lunar', '6 Light', '2 Mystic', '2 Warden']","['Leona', 'Nasus', 'Vayne', 'Jax', 'Karma', 'Soraka', 'Lucian', 'Yorick']"
57,1887,8,Ranked,00:19:27,"['4 Desert', '4 Blademaster', '2 Wind']","['Renekton', 'Yasuo', 'Azir', 'Aatrox', 'Sivir', 'Janna', 'Khazix']"
58,1887,8,Ranked,00:22:10,"['4 Desert', '4 Blademaster', '2 Wind']","['Renekton', 'Yasuo', 'Aatrox', 'Azir', 'Sivir', 'Janna', 'Khazix']"
59,1887,7,Ranked,00:26:44,"['4 Inferno', '4 Summoner', '3 Shadow', '2 Ranger']","['Zyra', 'Malzahar', 'Varus', 'Sion', 'Kindred', 'Annie', 'Yorick']"
60,1887,6,Ranked,00:29:28,"['6 Ranger', '3 Inferno', '2 Crystal', '2 Glacial', '2 Warden']","['Vayne', 'Varus', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Amumu', 'Taric']"
61,804,4,Ranked,00:29:55,"['6 Inferno', '3 Shadow', '3 Warden', '2 Ranger']","['Zyra', 'Malzahar', 'Varus', 'Kindred', 'Qiyana', 'Sion', 'Amumu', 'Taric']"
62,804,2,Ranked,00:35:17,"['1 Alchemist', '3 Electric', '3 Warden', '2 Mystic']","['Ornn', 'Volibear', 'Karma', 'Malphite', 'Nami', 'Singed', 'Taric', 'Zed']"
63,804,3,Ranked,00:36:12,"['2 Lunar', '3 Electric', '3 Warden', '2 Mystic', '2 Ocean']","['Leona', 'Ornn', 'Volibear', 'Qiyana', 'Karma', 'Nami', 'Taric', 'Zed']"
64,804,1,Ranked,00:32:24,"['6 Shadow', '1 Avatar', '2 Mystic', '2 Blademaster', '2 Wind']","['Malzahar', 'Senna', 'Sion', 'Veigar', 'Kindred', 'Master Yi', 'Nami', 'Lux']"
65,804,3,Ranked,00:27:30,"['2 Lunar', '3 Electric', '3 Summoner', '2 Mystic', '2 Warden']","['Leona', 'Ornn', 'Volibear', 'Azir', 'Karma', 'Annie', 'Janna', 'Zed']"
66,804,3,Ranked,00:33:52,"['6 Shadow', '2 Mystic']","['Malzahar', 'Senna', 'Kindred', 'Sion', 'Veigar', 'Master Yi', 'Amumu', 'Nami']"
67,804,4,Ranked,00:32:08,"['2 Lunar', '1 Alchemist', '3 Assassin', '3 Summoner', '2 Desert', '2 Mystic', '2 Wind']","['Leona', 'Azir', 'Karma', 'Qiyana', 'Annie', 'Janna', 'Khazix', 'Singed', 'Zed']"
68,804,4,Ranked,00:27:18,"['6 Inferno', '4 Summoner', '3 Shadow']","['Diana', 'Zyra', 'Malzahar', 'Kindred', 'Sion', 'Annie', 'Brand', 'Yorick', 'Amumu']"
69,804,2,Ranked,00:35:01,"['6 Shadow', '3 Summoner', '2 Mystic']","['Senna', 'Malzahar', 'Sion', 'Veigar', 'Kindred', 'Annie', 'Yorick', 'Master Yi', 'Nami']"
70,804,2,Ranked,00:35:38,"['6 Shadow', '3 Inferno', '3 Mystic']","['Malzahar', 'Senna', 'Karma', 'Kindred', 'Sion', 'Veigar', 'Annie', 'Master Yi', 'Nami', 'Amumu']"
71,575,5,Ranked,00:29:27,"['6 Light', '2 Mystic']","['Nasus', 'Jax', 'Aatrox', 'Karma', 'Soraka', 'Lucian', 'Yorick']"
72,575,1,Ranked,00:32:13,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Taric', 'Singed', 'Taric']"
73,575,6,Ranked,00:29:06,"['6 Mage', '2 Mountain', '1 Avatar', '5 Ocean', '2 Warden']","['Taliyah', 'Vladimir', 'Syndra', 'Thresh', 'Veigar', 'Brand', 'Malphite', 'Lux']"
74,575,8,Ranked,00:27:46,"['2 Mountain', '4 Ocean', '4 Warden', '3 Mage']","['Taliyah', 'Syndra', 'Thresh', 'Nautilus', 'Brand', 'Malphite', 'Taric', 'Nami']"
75,575,1,Ranked,00:34:51,"['6 Mage', '2 Mountain', '5 Warden', '4 Ocean']","['Taliyah', 'Vladimir', 'Syndra', 'Nautilus', 'Brand', 'Malphite', 'Amumu', 'Nami', 'Taric']"
76,575,4,Ranked,00:32:01,"['6 Shadow', '2 Mystic', '2 Blademaster', '2 Wind']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Janna', 'Master Yi']"
77,575,8,Ranked,00:26:20,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial']","['Braum', 'Skarner', 'Ezreal', 'Dr. Mundo', 'Kindred', 'Twitch', 'Ashe', 'Singed']"
78,575,3,Ranked,00:30:23,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Taric', 'Singed']"
79,575,3,Ranked,00:29:24,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Singed', 'Taric']"
80,575,7,Ranked,00:26:05,"['4 Wind', '1 Avatar', '5 Blademaster', '3 Mystic', '2 Desert']","['Yasuo', 'Aatrox', 'Karma', 'Sivir', 'Janna', 'Khazix', 'Master Yi', 'Lux']"
81,1478,7,Ranked,00:27:53,"['6 Light', '2 Mystic']","['Nasus', 'Jax', 'Aatrox', 'Soraka', 'Janna', 'Lucian', 'Yorick']"
82,1478,2,Ranked,00:35:19,"['2 Lunar', '4 Ranger', '3 Inferno', '3 Warden', '2 Crystal']","['Leona', 'Varus', 'Karma', 'Kindred', 'Ashe', 'Twitch', 'Amumu', 'Taric']"
83,1478,3,Ranked,00:35:55,"['3 Predator', '3 Poison', '1 Alchemist', '2 Crystal', '2 Steel', '2 Warden']","[""Kog'Maw"", ""Rek'Sai"", 'Skarner', 'Dr. Mundo', 'Nocturne', 'Amumu', 'Taric', 'Singed']"
84,1478,5,Ranked,00:29:57,"['2 Mountain', '4 Ocean', '4 Warden', '3 Mage']","['Vladimir', 'Braum', 'Syndra', 'Thresh', 'Nautilus', 'Qiyana', 'Malphite', 'Brand']"
85,1478,2,Ranked,00:35:51,"['6 Ocean', '2 Mountain', '1 Avatar', '4 Warden', '3 Mage']","['Taliyah', 'Vladimir', 'Thresh', 'Nautilus', 'Malphite', 'Brand', 'Nami', 'Taric', 'Lux']"
86,1478,6,Ranked,00:27:39,"['2 Mountain', '4 Ocean', '4 Warden', '3 Mage']","['Vladimir', 'Braum', 'Syndra', 'Thresh', 'Qiyana', 'Nautilus', 'Malphite', 'Brand']"
87,1478,3,Ranked,00:35:46,"['2 Mountain', '1 Avatar', '4 Ocean', '3 Warden', '2 Mystic']","['Taliyah', 'Vladimir', 'Thresh', 'Nautilus', 'Soraka', 'Malphite', 'Nami', 'Lux']"
88,1478,5,Ranked,00:30:03,"['6 Berserker', '4 Glacial', '2 Desert']","['Renekton', 'Braum', 'Jax', 'Volibear', 'Dr. Mundo', 'Ezreal', 'Sion', 'Khazix', 'Olaf']"
89,1478,8,Ranked,00:23:42,"['2 Lunar', '4 Summoner', '2 Desert', '2 Mystic', '2 Blademaster']","['Leona', 'Renekton', 'Zyra', 'Karma', 'Azir', 'Annie', 'Yorick', 'Master Yi']"
90,1478,8,Ranked,00:24:06,"['4 Glacial', '4 Berserker', '2 Desert']","['Renekton', 'Warwick', 'Braum', 'Jax', 'Volibear', 'Ezreal', 'Sion', 'Khazix']"
91,166,1,Ranked,00:30:39,"['2 Mountain', '4 Ocean', '4 Warden', '4 Mage', '2 Mystic']","['Taliyah', 'Syndra', 'Thresh', 'Soraka', 'Nautilus', 'Brand', 'Malphite', 'Nami', 'Amumu']"
92,166,1,Ranked,00:31:52,"['2 Mountain', '4 Ocean', '3 Mage', '3 Warden', '2 Mystic']","['Taliyah', 'Syndra', 'Nautilus', 'Qiyana', 'Brand', 'Janna', 'Malphite', 'Nami', 'Taric']"
93,166,7,Ranked,00:23:57,"['1 Alchemist', '4 Ranger', '4 Inferno', '2 Crystal', '2 Warden']","['Skarner', 'Varus', 'Braum', 'Kindred', 'Ashe', 'Twitch', 'Singed', 'Amumu']"
94,166,3,Ranked,00:33:27,"['2 Mountain', '1 Avatar', '4 Ocean', '4 Warden', '3 Wind', '2 Mystic']","['Taliyah', 'Thresh', 'Syndra', 'Nautilus', 'Janna', 'Malphite', 'Taric', 'Nami', 'Lux']"
95,166,2,Ranked,00:35:21,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden']","['Braum', 'Dr. Mundo', 'Ezreal', 'Kindred', 'Ashe', 'Twitch', 'Singed', 'Taric']"
96,166,8,Ranked,00:26:45,"['3 Electric', '5 Light']","['Ornn', 'Volibear', 'Aatrox', 'Soraka', 'Yorick', 'Lucian', 'Zed']"
97,166,7,Ranked,00:29:55,"['6 Light', '2 Mystic']","['Vayne', 'Jax', 'Aatrox', 'Karma', 'Soraka', 'Lucian', 'Yorick', 'Taric']"
98,166,1,Ranked,00:36:35,"['4 Electric', '2 Mountain', '1 Alchemist', '1 Avatar', '4 Warden']","['Ornn', 'Nautilus', 'Qiyana', 'Malphite', 'Singed', 'Taric', 'Zed', 'Lux']"
99,166,5,Ranked,00:27:20,"['2 Mountain', '4 Ocean', '4 Warden', '4 Mage']","['Nasus', 'Taliyah', 'Vladimir', 'Syndra', 'Thresh', 'Nautilus', 'Brand', 'Malphite']"
100,166,4,Ranked,00:31:53,"['2 Mountain', '4 Ocean', '4 Warden', '3 Mage', '2 Mystic']","['Taliyah', 'Syndra', 'Thresh', 'Soraka', 'Nautilus', 'Brand', 'Malphite', 'Nami']"
101,2152,7,Ranked,00:24:26,"['3 Poison', '1 Alchemist', '4 Ranger', '2 Crystal', '2 Glacial']","['Braum', 'Skarner', 'Dr. Mundo', 'Kindred', 'Ezreal', 'Ashe', 'Twitch', 'Singed']"
102,2152,8,Ranked,00:19:41,"['5 Shadow', '2 Wind']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Janna']"
103,2152,5,Ranked,00:32:11,"['6 Shadow', '2 Mystic', '2 Blademaster', '2 Wind']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Janna', 'Master Yi']"
104,2152,8,Ranked,00:22:14,"['5 Shadow', '2 Blademaster', '2 Wind']","['Malzahar', 'Yasuo', 'Kindred', 'Qiyana', 'Sion', 'Veigar', 'Master Yi']"
105,2152,2,Ranked,00:32:12,"['6 Shadow', '2 Mystic', '2 Blademaster', '2 Wind']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Janna', 'Master Yi']"
106,2152,1,Ranked,00:33:52,"['6 Shadow', '2 Mystic', '2 Blademaster', '2 Wind']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Veigar', 'Sion', 'Janna', 'Master Yi']"
107,2152,1,Ranked,00:35:25,"['6 Shadow', '2 Mystic', '2 Blademaster', '2 Wind']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Janna', 'Master Yi']"
108,2152,1,Ranked,00:32:07,"['6 Shadow', '2 Mystic', '2 Blademaster', '2 Wind']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Janna', 'Malphite', 'Master Yi']"
109,2152,8,Ranked,00:21:33,"['2 Mountain', '4 Warden', '3 Mage', '3 Ocean']","['Taliyah', 'Syndra', 'Thresh', 'Nautilus', 'Brand', 'Malphite', 'Amumu']"
110,2152,3,Ranked,00:34:03,"['6 Shadow', '1 Avatar', '3 Wind', '2 Blademaster']","['Malzahar', 'Senna', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Master Yi', 'Lux']"
111,1069,4,Ranked,00:28:28,"['4 Electric', '2 Lunar', '1 Avatar', '4 Warden', '2 Mystic']","['Leona', 'Ornn', 'Braum', 'Soraka', 'Karma', 'Malphite', 'Zed', 'Lux']"
112,1069,2,Ranked,00:33:00,"['6 Shadow', '2 Mystic', '2 Blademaster', '2 Wind']","['Senna', 'Malzahar', 'Yasuo', 'Kindred', 'Sion', 'Veigar', 'Janna', 'Master Yi']"
113,1069,6,Ranked,00:29:06,"['2 Mountain', '1 Avatar', '4 Ocean', '3 Inferno', '3 Mage', '2 Warden']","['Taliyah', 'Vladimir', 'Thresh', 'Qiyana', 'Brand', 'Malphite', 'Nami', 'Lux']"
114,1069,3,Ranked,00:32:34,"['4 Desert', '3 Blademaster', '2 Mystic', '2 Wind']","['Renekton', 'Yasuo', 'Aatrox', 'Azir', 'Karma', 'Sivir', 'Janna', 'Khazix']"
115,1069,7,Ranked,00:27:07,"['2 Lunar', '4 Warden', '2 Electric', '2 Mystic']","['Leona', 'Ornn', 'Varus', 'Braum', 'Karma', 'Malphite', 'Nami', 'Zed']"
116,1069,4,Ranked,00:31:30,"['3 Poison', '1 Alchemist', '4 Ranger', '3 Glacial', '2 Crystal']","['Skarner', 'Braum', 'Varus', 'Dr. Mundo', 'Ezreal', 'Ashe', 'Twitch', 'Singed']"
117,1069,1,Ranked,00:34:04,"['4 Mystic', '3 Electric', '2 Glacial']","['Ornn', 'Volibear', 'Ezreal', 'Karma', 'Soraka', 'Master Yi', 'Nami', 'Zed']"
118,1069,1,Ranked,00:32:06,"['3 Poison', '1 Alchemist', '1 Avatar', '4 Ranger', '2 Crystal', '2 Glacial', '2 Warden', '2 Wind']","['Braum', 'Varus', 'Dr. Mundo', 'Ezreal', 'Ashe', 'Twitch', 'Singed', 'Taric', 'Lux']"
119,1069,4,Ranked,00:33:17,"['3 Electric', '3 Assassin', '3 Summoner', '2 Desert', '2 Warden']","['Ornn', 'Volibear', 'Qiyana', 'Azir', 'Khazix', 'Yorick', 'Taric', 'Zed']"
120,1069,4,Ranked,00:30:32,"['4 Desert', '4 Blademaster', '2 Mystic', '2 Wind']","['Renekton', 'Yasuo', 'Aatrox', 'Azir', 'Sivir', 'Janna', 'Khazix', 'Master Yi']"
121,840,2,Ranked,00:31:28,"['6 Light', '2 Mystic', '2 Blademaster', '2 Wind']","['Nasus', 'Jax', 'Yasuo', 'Aatrox', 'Soraka', 'Janna', 'Lucian', 'Yorick']"
122,840,1,Ranked,00:38:04,"['6 Ocean', '1 Avatar', '4 Warden', '2 Mystic']","['Syndra', 'Thresh', 'Nautilus', 'Soraka', 'Brand', 'Malphite', 'Nami', 'Taric', 'Lux']"
123,840,2,Ranked,00:34:02,"['4 Ranger', '3 Warden', '2 Crystal', '2 Mystic', '2 Glacial']","['Braum', 'Ezreal', 'Kindred', 'Soraka', 'Ashe', 'Janna', 'Malphite', 'Twitch', 'Taric']"
124,840,3,Ranked,00:29:32,"['4 Desert', '2 Mystic', '2 Blademaster', '2 Wind']","['Renekton', 'Yasuo', 'Azir', 'Karma', 'Sivir', 'Janna', 'Khazix']"
125,840,2,Ranked,00:36:48,"['4 Desert', '4 Blademaster', '2 Mystic', '2 Wind']","['Renekton', 'Yasuo', 'Aatrox', 'Azir', 'Sivir', 'Khazix', 'Janna', 'Master Yi']"
126,840,2,Ranked,00:31:02,"['4 Desert', '2 Mystic', '2 Blademaster', '2 Wind']","['Renekton', 'Yasuo', 'Azir', 'Ezreal', 'Karma', 'Sivir', 'Khazix', 'Janna']"
